bin	presence	KO
bin.008	1	K11209
bin.008	1	K00479
bin.008	1	K02355
bin.008	1	K02358
bin.008	1	K01525
bin.008	1	K03654
bin.008	1	K00249
bin.008	1	K00627
bin.008	1	K03883
bin.008	1	K03046
bin.008	1	K06966
bin.008	1	K01424
bin.008	1	K09157
bin.008	1	K03199
bin.008	1	K00448
bin.008	1	K00449
bin.008	1	K00481
bin.008	1	K09767
bin.008	1	K00925
bin.008	1	K00412
bin.008	1	K00412
bin.008	1	K03701
bin.008	1	K07116
bin.008	1	K02014
bin.008	1	K04764
bin.008	1	K01890
bin.008	1	K01890
bin.008	1	K19225
bin.008	1	K02022
bin.008	1	K03879
bin.008	1	K03880
bin.008	1	K03878
bin.008	1	K00412
bin.008	1	K00412
bin.008	1	K03879
bin.008	1	K03878
bin.008	1	K00986
bin.008	1	K02444
bin.008	1	K04091
bin.008	1	K01118
bin.008	1	K03549
bin.008	1	K03979
bin.008	1	K02926
bin.008	1	K02892
bin.008	1	K02886
bin.008	1	K03366
bin.008	1	K01142
bin.008	1	K03802
bin.008	1	K00496
bin.008	1	K01029
bin.008	1	K01028
bin.008	1	K01118
bin.008	1	K03446
bin.008	1	K03543
bin.008	1	K04047
bin.008	1	K00130
bin.008	1	K00121
bin.008	1	K00433
bin.008	1	K03716
bin.008	1	K03671
bin.008	1	K03732
bin.008	1	K08884
bin.008	1	K09007
bin.008	1	K10775
bin.008	1	K03328
bin.008	1	K03086
bin.008	1	K03098
bin.008	1	K01515
bin.008	1	K07133
bin.008	1	K01958
bin.008	1	K00763
bin.008	1	K03088
bin.008	1	K04066
bin.008	1	K03410
bin.008	1	K01835
bin.008	1	K01866
bin.008	1	K00981
bin.008	1	K00099
bin.008	1	K00384
bin.008	1	K10979
bin.008	1	K07058
bin.008	1	K00540
bin.008	1	K00161
bin.008	1	K07003
bin.008	1	K01507
bin.008	1	K01142
bin.008	1	K01142
bin.008	1	K07156
bin.008	1	K00720
bin.008	1	K00772
bin.008	1	K00413
bin.008	1	K07746
bin.008	1	K01658
bin.008	1	K07011
bin.008	1	K09786
bin.008	1	K06415
bin.008	1	K07001
bin.008	1	K04567
bin.008	1	K02019
bin.008	1	K06910
bin.008	1	K09144
bin.008	1	K00639
bin.008	1	K02536
bin.008	1	K00480
bin.008	1	K00102
bin.008	1	K03884
bin.008	1	K02890
bin.008	1	K02982
bin.008	1	K02935
bin.008	1	K02864
bin.008	1	K03043
bin.008	1	K01816
bin.008	1	K00274
bin.008	1	K01259
bin.008	1	K05786
bin.008	1	K04564
bin.008	1	K01178
bin.008	1	K07039
bin.008	1	K01546
bin.008	1	K02020
bin.008	1	K07304
bin.008	1	K00566
bin.008	1	K01681
bin.008	1	K01602
bin.008	1	K01601
bin.008	1	K07496
bin.008	1	K02952
bin.008	1	K06601
bin.008	1	K01338
bin.008	1	K00798
bin.008	1	K08928
bin.008	1	K08929
bin.008	1	K06893
bin.008	1	K00130
bin.008	1	K07075
bin.008	1	K01061
bin.008	1	K03628
bin.008	1	K00432
bin.008	1	K02014
bin.008	1	K07171
bin.008	1	K00034
bin.008	1	K01897
bin.008	1	K02032
bin.008	1	K03119
bin.008	1	K02434
bin.008	1	K03325
bin.008	1	K00537
bin.008	1	K03119
bin.008	1	K09747
bin.008	1	K03882
bin.008	1	K03883
bin.008	1	K02261
bin.008	1	K00067
bin.008	1	K18242
bin.008	1	K07451
bin.008	1	K06199
bin.008	1	K01689
bin.008	1	K07485
bin.008	1	K07047
bin.008	1	K07493
bin.008	1	K07497
bin.008	1	K07124
bin.008	1	K07486
bin.008	1	K00517
bin.008	1	K07482
bin.008	1	K03746
bin.008	1	K09121
bin.008	1	K00317
bin.008	1	K01621
bin.008	1	K01687
bin.008	1	K05568
bin.008	1	K05566
bin.008	1	K00077
bin.008	1	K07481
bin.008	1	K02067
bin.008	1	K02313
bin.008	1	K01061
bin.008	1	K03496
bin.008	1	K07497
bin.008	1	K08151
bin.008	1	K07657
bin.008	1	K06415
bin.008	1	K12121
bin.008	1	K03549
bin.008	1	K02438
bin.008	1	K02014
bin.008	1	K00114
bin.008	1	K01195
bin.008	1	K06907
bin.008	1	K03043
bin.008	1	K03046
bin.008	1	K05712
bin.008	1	K11075
bin.008	1	K11074
bin.008	1	K01997
bin.008	1	K03696
bin.008	1	K04079
bin.008	1	K04079
bin.008	1	K00606
bin.008	1	K02334
bin.008	1	K07487
bin.008	1	K03703
bin.008	1	K02110
bin.008	1	K02108
bin.008	1	K01971
bin.008	1	K00956
bin.008	1	K01676
bin.008	1	K07154
bin.008	1	K02669
bin.008	1	K01338
bin.008	1	K03544
bin.008	1	K03558
bin.008	1	K02913
bin.008	1	K02902
bin.008	1	K00721
bin.008	1	K06199
bin.008	1	K02014
bin.008	1	K03563
bin.008	1	K03320
bin.008	1	K00314
bin.008	1	K01889
bin.008	1	K02916
bin.008	1	K02887
bin.008	1	K08884
bin.008	1	K02314
bin.008	1	K07772
bin.008	1	K01626
bin.008	1	K01626
bin.008	1	K00891
bin.008	1	K01735
bin.008	1	K02666
bin.008	1	K07492
bin.008	1	K15726
bin.008	1	K00340
bin.008	1	K00339
bin.008	1	K00341
bin.008	1	K07180
bin.008	1	K04099
bin.008	1	K03670
bin.008	1	K09808
bin.008	1	K03723
bin.008	1	K05366
bin.008	1	K02662
bin.008	1	K02014
bin.008	1	K07141
bin.008	1	K02283
bin.008	1	K03201
bin.008	1	K03200
bin.008	1	K06148
bin.008	1	K01653
bin.008	1	K09882
bin.008	1	K10775
bin.008	1	K02014
bin.008	1	K07315
bin.008	1	K19707
bin.008	1	K06400
bin.008	1	K02058
bin.008	1	K06911
bin.008	1	K03294
bin.008	1	K07075
bin.008	1	K02111
bin.008	1	K02115
bin.008	1	K00130
bin.008	1	K14333
bin.008	1	K01879
bin.008	1	K01939
bin.008	1	K07492
bin.008	1	K03559
bin.008	1	K01903
bin.008	1	K00766
bin.008	1	K00986
bin.008	1	K09690
bin.008	1	K18383
bin.008	1	K00666
bin.008	1	K15553
bin.008	1	K03925
bin.008	1	K07056
bin.008	1	K03624
bin.008	1	K01754
bin.008	1	K00970
bin.008	1	K00666
bin.008	1	K00528
bin.008	1	K00130
bin.008	1	K02313
bin.008	1	K02338
bin.008	1	K13038
bin.008	1	K03182
bin.008	1	K09983
bin.008	1	K16238
bin.008	1	K02390
bin.008	1	K01779
bin.008	1	K00558
bin.008	1	K00666
bin.008	1	K03929
bin.008	1	K00703
bin.008	1	K13924
bin.008	1	K00161
bin.008	1	K00162
bin.008	1	K02899
bin.008	1	K02888
bin.008	1	K03979
bin.008	1	K12511
bin.008	1	K04035
bin.008	1	K02672
bin.008	1	K02674
bin.008	1	K00018
bin.008	1	K06893
bin.008	1	K07039
bin.008	1	K00525
bin.008	1	K11527
bin.008	1	K02470
bin.008	1	K07217
bin.008	1	K02469
bin.008	1	K00674
bin.008	1	K12574
bin.008	1	K11433
bin.008	1	K01338
bin.008	1	K02047
bin.008	1	K02045
bin.008	1	K02455
bin.008	1	K02014
bin.008	1	K02014
bin.008	1	K02916
bin.008	1	K02887
bin.008	1	K00855
bin.008	1	K03841
bin.008	1	K01271
bin.008	1	K14415
bin.008	1	K11089
bin.008	1	K07154
bin.008	1	K01358
bin.008	1	K03545
bin.008	1	K03787
bin.008	1	K00573
bin.008	1	K01187
bin.008	1	K09134
bin.008	1	K01142
bin.008	1	K01458
bin.008	1	K07075
bin.008	1	K07484
bin.008	1	K02481
bin.008	1	K08972
bin.008	1	K01301
bin.008	1	K09903
bin.008	1	K02838
bin.008	1	K03723
bin.008	1	K08234
bin.008	1	K01733
bin.008	1	K07277
bin.008	1	K06142
bin.008	1	K07404
bin.008	1	K07814
bin.008	1	K00604
bin.008	1	K01462
bin.008	1	K00540
bin.008	1	K10255
bin.008	1	K15925
bin.008	1	K07497
bin.008	1	K07497
bin.008	1	K03786
bin.008	1	K02160
bin.008	1	K01961
bin.008	1	K08676
bin.008	1	K00957
bin.008	1	K01784
bin.008	1	K01955
bin.008	1	K02314
bin.008	1	K07062
bin.008	1	K02470
bin.008	1	K04035
bin.008	1	K03530
bin.008	1	K03786
bin.008	1	K06966
bin.008	1	K12040
bin.008	1	K12040
bin.008	1	K04098
bin.008	1	K01006
bin.008	1	K02055
bin.008	1	K02052
bin.008	1	K01784
bin.028	1	K00481
bin.028	1	K02346
bin.028	1	K07064
bin.028	1	K07154
bin.028	1	K11996
bin.028	1	K01971
bin.028	1	K01284
bin.028	1	K05916
bin.028	1	K13771
bin.028	1	K03787
bin.028	1	K01995
bin.028	1	K01996
bin.028	1	K00793
bin.028	1	K11752
bin.028	1	K01754
bin.028	1	K01126
bin.028	1	K05813
bin.028	1	K01007
bin.028	1	K00796
bin.028	1	K03798
bin.028	1	K05814
bin.028	1	K05815
bin.028	1	K05813
bin.028	1	K03168
bin.028	1	K13282
bin.028	1	K13051
bin.028	1	K02058
bin.028	1	K02907
bin.028	1	K03076
bin.028	1	K02876
bin.028	1	K07491
bin.028	1	K00265
bin.028	1	K02558
bin.028	1	K00448
bin.028	1	K01857
bin.028	1	K07058
bin.028	1	K12373
bin.028	1	K01784
bin.028	1	K03524
bin.028	1	K00611
bin.028	1	K08086
bin.028	1	K00372
bin.028	1	K16874
bin.028	1	K16568
bin.028	1	K02020
bin.028	1	K14261
bin.028	1	K00003
bin.028	1	K00818
bin.028	1	K00641
bin.028	1	K08218
bin.028	1	K00059
bin.028	1	K04754
bin.028	1	K02067
bin.028	1	K03455
bin.028	1	K02065
bin.028	1	K02066
bin.028	1	K09461
bin.028	1	K03495
bin.028	1	K03609
bin.028	1	K00059
bin.028	1	K00012
bin.028	1	K02014
bin.028	1	K02014
bin.028	1	K14534
bin.028	1	K01915
bin.028	1	K07708
bin.028	1	K02498
bin.028	1	K01507
bin.028	1	K07492
bin.028	1	K00773
bin.028	1	K19745
bin.028	1	K04565
bin.028	1	K02034
bin.028	1	K02035
bin.028	1	K07136
bin.028	1	K00390
bin.028	1	K07497
bin.028	1	K11004
bin.028	1	K10001
bin.028	1	K10001
bin.028	1	K10003
bin.028	1	K00441
bin.028	1	K03925
bin.028	1	K02036
bin.028	1	K02014
bin.028	1	K10001
bin.028	1	K02455
bin.028	1	K02456
bin.028	1	K02523
bin.028	1	K07486
bin.028	1	K02863
bin.028	1	K03207
bin.028	1	K13590
bin.028	1	K02986
bin.028	1	K02948
bin.028	1	K02952
bin.028	1	K06904
bin.028	1	K00057
bin.028	1	K01745
bin.028	1	K00254
bin.028	1	K18929
bin.028	1	K18928
bin.028	1	K01069
bin.028	1	K08307
bin.028	1	K11689
bin.028	1	K11688
bin.028	1	K11690
bin.028	1	K02113
bin.028	1	K02109
bin.028	1	K02110
bin.028	1	K00164
bin.028	1	K00820
bin.028	1	K00820
bin.028	1	K03641
bin.028	1	K03640
bin.028	1	K06152
bin.028	1	K07552
bin.028	1	K09701
bin.028	1	K00574
bin.028	1	K15511
bin.028	1	K00059
bin.028	1	K07445
bin.028	1	K07445
bin.028	1	K02961
bin.028	1	K02982
bin.028	1	K02878
bin.028	1	K02904
bin.028	1	K01271
bin.028	1	K01358
bin.028	1	K01358
bin.028	1	K03545
bin.028	1	K03544
bin.028	1	K06132
bin.028	1	K14761
bin.028	1	K08677
bin.028	1	K02454
bin.028	1	K02454
bin.028	1	K00925
bin.028	1	K14682
bin.028	1	K02035
bin.028	1	K01438
bin.028	1	K00088
bin.028	1	K03321
bin.028	1	K01713
bin.028	1	K02614
bin.028	1	K03775
bin.028	1	K06962
bin.028	1	K00956
bin.028	1	K00957
bin.028	1	K01322
bin.028	1	K11209
bin.028	1	K07789
bin.028	1	K01991
bin.028	1	K07090
bin.028	1	K06173
bin.028	1	K01817
bin.028	1	K13991
bin.028	1	K01752
bin.028	1	K05540
bin.028	1	K03185
bin.028	1	K18829
bin.028	1	K18828
bin.028	1	K00059
bin.028	1	K01886
bin.028	1	K01547
bin.028	1	K07799
bin.028	1	K07729
bin.028	1	K00694
bin.028	1	K03892
bin.028	1	K01061
bin.028	1	K01611
bin.028	1	K16877
bin.028	1	K03518
bin.028	1	K03782
bin.028	1	K03549
bin.028	1	K16080
bin.028	1	K02670
bin.028	1	K02066
bin.028	1	K10025
bin.028	1	K06987
bin.028	1	K06969
bin.028	1	K02017
bin.028	1	K14287
bin.028	1	K00161
bin.028	1	K16881
bin.028	1	K00675
bin.028	1	K01187
bin.028	1	K02668
bin.028	1	K06950
bin.028	1	K01095
bin.028	1	K03743
bin.028	1	K00946
bin.028	1	K01561
bin.028	1	K03782
bin.028	1	K00046
bin.028	1	K00249
bin.028	1	K00406
bin.028	1	K02014
bin.028	1	K01588
bin.028	1	K07497
bin.028	1	K07497
bin.028	1	K01955
bin.028	1	K14987
bin.028	1	K14986
bin.028	1	K03531
bin.028	1	K03590
bin.028	1	K01255
bin.028	1	K02339
bin.028	1	K00274
bin.028	1	K01754
bin.028	1	K00982
bin.028	1	K06132
bin.028	1	K04078
bin.028	1	K04077
bin.028	1	K00344
bin.028	1	K03111
bin.028	1	K02609
bin.028	1	K02611
bin.028	1	K02610
bin.028	1	K02609
bin.028	1	K14652
bin.028	1	K00794
bin.028	1	K03625
bin.028	1	K02529
bin.028	1	K03497
bin.028	1	K06920
bin.028	1	K02014
bin.028	1	K03303
bin.028	1	K00626
bin.028	1	K07778
bin.028	1	K00151
bin.028	1	K05921
bin.028	1	K01255
bin.028	1	K00254
bin.028	1	K11527
bin.028	1	K00380
bin.028	1	K05808
bin.028	1	K00826
bin.028	1	K06158
bin.028	1	K03673
bin.028	1	K08178
bin.028	1	K19745
bin.028	1	K01681
bin.028	1	K00700
bin.028	1	K01262
bin.028	1	K01602
bin.028	1	K01601
bin.028	1	K01114
bin.028	1	K11085
bin.028	1	K01653
bin.028	1	K01652
bin.028	1	K03322
bin.028	1	K14981
bin.028	1	K07226
bin.028	1	K07746
bin.028	1	K01885
bin.028	1	K13018
bin.028	1	K13015
bin.028	1	K17225
bin.028	1	K02073
bin.028	1	K08738
bin.028	1	K09846
bin.028	1	K11333
bin.028	1	K01998
bin.028	1	K09780
bin.028	1	K01997
bin.028	1	K04102
bin.028	1	K06893
bin.028	1	K03703
bin.028	1	K15738
bin.028	1	K13924
bin.028	1	K01867
bin.028	1	K07486
bin.028	1	K07492
bin.028	1	K12262
bin.028	1	K02519
bin.028	1	K06973
bin.028	1	K03797
bin.028	1	K00951
bin.028	1	K03274
bin.028	1	K01710
bin.028	1	K00336
bin.028	1	K08482
bin.028	1	K02115
bin.028	1	K02112
bin.028	1	K00948
bin.028	1	K01451
bin.028	1	K12410
bin.028	1	K01322
bin.028	1	K04761
bin.028	1	K04047
bin.028	1	K05816
bin.028	1	K02010
bin.028	1	K02014
bin.028	1	K01997
bin.028	1	K07047
bin.028	1	K09932
bin.028	1	K02479
bin.028	1	K07305
bin.028	1	K08678
bin.028	1	K01489
bin.028	1	K03147
bin.028	1	K00574
bin.028	1	K01869
bin.028	1	K01297
bin.028	1	K18139
bin.028	1	K08084
bin.028	1	K02671
bin.028	1	K03702
bin.028	1	K04096
bin.028	1	K11354
bin.028	1	K02406
bin.028	1	K03046
bin.028	1	K07240
bin.028	1	K01784
bin.028	1	K19713
bin.028	1	K02005
bin.028	1	K08301
bin.028	1	K02886
bin.028	1	K02926
bin.028	1	K02906
bin.028	1	K02892
bin.028	1	K04754
bin.028	1	K01720
bin.028	1	K00130
bin.028	1	K00344
bin.028	1	K01874
bin.028	1	K14742
bin.028	1	K03446
bin.028	1	K03735
bin.028	1	K00799
bin.028	1	K01756
bin.028	1	K00265
bin.028	1	K06016
bin.028	1	K06596
bin.028	1	K01783
bin.028	1	K03795
bin.028	1	K02026
bin.028	1	K01687
bin.028	1	K00609
bin.028	1	K02825
bin.028	1	K18009
bin.028	1	K07496
bin.028	1	K04090
bin.028	1	K01621
bin.028	1	K00688
bin.028	1	K02672
bin.028	1	K02673
bin.028	1	K02674
bin.028	1	K07064
